"Time (s) Run #4","Temperature (°C) Run #4"
0.000,36.4
0.050,36.5
0.100,36.6
0.150,36.7
0.200,36.8
0.250,36.9
0.300,37.0
0.350,37.0
0.400,37.1
0.450,37.2
0.500,37.3
0.550,37.4
0.600,37.5
0.650,37.6
0.700,37.7
0.750,37.8
0.800,37.9
0.850,38.0
0.900,38.1
0.950,38.3
1.000,38.6
1.050,38.9
1.100,39.3
1.150,39.8
1.200,40.4
1.250,41.0
1.300,41.7
1.350,42.4
1.400,43.2
1.450,43.9
1.500,44.7
1.550,45.5
1.600,46.3
1.650,47.1
1.700,48.0
1.750,48.8
1.800,49.7
1.850,50.6
1.900,51.5
1.950,52.3
2.000,53.2
2.050,54.1
2.100,55.0
2.150,55.9
2.200,56.8
2.250,57.6
2.300,58.5
2.350,59.3
2.400,60.1
2.450,60.9
2.500,61.7
2.550,62.4
2.600,63.1
2.650,63.9
2.700,64.6
2.750,65.2
2.800,65.9
2.850,66.5
2.900,67.2
2.950,67.8
3.000,68.4
3.050,69.0
3.100,69.6
3.150,70.1
3.200,70.7
3.250,71.2
3.300,71.7
3.350,72.2
3.400,72.7
3.450,73.2
3.500,73.7
3.550,74.1
3.600,74.6
3.650,75.0
3.700,75.5
3.750,75.9
3.800,76.3
3.850,76.7
3.900,77.1
3.950,77.5
4.000,77.8
4.050,78.2
4.100,78.5
4.150,78.9
4.200,79.2
4.250,79.5
4.300,79.9
4.350,80.2
4.400,80.5
4.450,80.7
4.500,81.0
4.550,81.3
4.600,81.5
4.650,81.8
4.700,82.0
4.750,82.2
4.800,82.5
4.850,82.7
4.900,82.9
4.950,83.1
5.000,83.4
5.050,83.6
5.100,83.8
5.150,84.0
5.200,84.2
5.250,84.4
5.300,84.5
5.350,84.7
5.400,84.9
5.450,85.1
5.500,85.3
5.550,85.4
5.600,85.6
5.650,85.8
5.700,86.0
5.750,86.1
5.800,86.3
5.850,86.4
5.900,86.6
5.950,86.7
6.000,86.9
6.050,87.0
6.100,87.2
6.150,87.3
6.200,87.4
6.250,87.6
6.300,87.7
6.350,87.8
6.400,87.9
6.450,88.1
6.500,88.2
6.550,88.3
6.600,88.4
6.650,88.5
6.700,88.6
6.750,88.7
6.800,88.8
6.850,88.9
6.900,89.0
6.950,89.1
7.000,89.2
7.050,89.3
7.100,89.4
7.150,89.4
7.200,89.5
7.250,89.6
7.300,89.7
7.350,89.7
7.400,89.8
7.450,89.9
7.500,90.0
7.550,90.0
7.600,90.1
7.650,90.2
7.700,90.2
7.750,90.3
7.800,90.4
7.850,90.4
7.900,90.5
7.950,90.5
8.000,90.6
8.050,90.7
8.100,90.7
8.150,90.8
8.200,90.8
8.250,90.9
8.300,91.0
8.350,91.0
8.400,91.1
8.450,91.1
8.500,91.2
8.550,91.2
8.600,91.3
8.650,91.3
8.700,91.4
8.750,91.4
8.800,91.5
8.850,91.5
8.900,91.6
8.950,91.6
9.000,91.7
9.050,91.7
9.100,91.8
9.150,91.8
9.200,91.8
9.250,91.9
9.300,91.9
9.350,91.9
9.400,92.0
9.450,92.0
9.500,92.1
9.550,92.1
9.600,92.1
9.650,92.2
9.700,92.2
9.750,92.3
9.800,92.3
9.850,92.3
9.900,92.4
9.950,92.4
10.000,92.4
10.050,92.5
10.100,92.5
10.150,92.6
10.200,92.6
10.250,92.6
10.300,92.7
10.350,92.7
10.400,92.7
10.450,92.8
